Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256,BS=512
DeepSeek_mxfp4 (e2m1) + 4o6,,,,,1.2315133666992182,,,,
DeepSeek_mxfp4 (e2m1) + c90,,,,,1.2262471771240229,,,,
DeepSeek_mxfp4 (e2m1) + c95,,,,,1.2651685333251947,,,,
DeepSeek_mxfp4 (e2m1) + c99,,,,,1.321372375488281,,,,
DeepSeek_mxfp4 (e1m2) + c90,,,,,1.6552194213867182,,,,
DeepSeek_mxfp4 (e1m2) + c95,,,,,1.8131583786010737,,,,
DeepSeek_mxfp4 (e1m2) + c99,,,,,1.9805701828002924,,,,
DeepSeek_mxfp4 (e2m1) + Tilted (2s),,,,,1.7646001434326166,,,,
DeepSeek_mxfp4 (e2m1) + Tilted (3s),,,,,1.9905170059204096,,,,
DeepSeek_mxfp4 (e2m1) + Tilted (5s),,,,,2.276500091552734,,,,
DeepSeek_mxfp4 (e2m1) + Rot (2s),,,,,1.628264770507812,,,,
DeepSeek_mxfp4 (e2m1) + Rot (3s),,,,,1.7368939971923822,,,,
DeepSeek_mxfp4 (e2m1) + Rot (5s),,,,,1.6813386535644526,,,,
DeepSeek_mxfp4 (e1m2) + Tilted (2s),,,,,1.9690965270996088,,,,
DeepSeek_mxfp4 (e1m2) + Tilted (3s),,,,,2.0569890594482416,,,,
DeepSeek_mxfp4 (e1m2) + Tilted (5s),,,,,2.514650688171386,,,,
DeepSeek_mxfp4 (e1m2) + Rot (2s),,,,,2.0212720489501947,,,,
DeepSeek_mxfp4 (e1m2) + Rot (3s),,,,,1.9988740539550776,,,,
DeepSeek_mxfp4 (e1m2) + Rot (5s),,,,,2.091628417968749,,,,
DeepSeek_mxfp4 (e1m2) + KS (320p),,,,,2.254947052001953,,,,
DeepSeek_mxfp4 (e1m2) + Rot (80p),,,,,1.988174781799316,,,,
"DeepSeek_wgt e1m2, act e2m1",,,,,1.6306346511840817,,,,
"DeepSeek_wgt e1m2, act e2m1 + random hadamard",,,,,1.616194114685058,,,,
"DeepSeek_wgt e1m2, act e2m1 + hierarchical scales",,,,,1.6229518508911127,,,,
"DeepSeek_wgt e1m2, act e2m1 + hierarchical scales + random hadamard",,,,,1.6994031524658195,,,,
"DeepSeek_wgt e2m1, act e1m2",,,,,1.6185659027099604,,,,
"DeepSeek_wgt e2m1, act e1m2 + random hadamard",,,,,1.3223861312866203,,,,
